35
82
1 2 3
1 6 1
1 7 1
2 3 3
2 7 1
2 8 1
3 4 3
3 8 1
3 9 1
4 5 3
4 9 1
4 10 1
5 10 1
5 11 1
6 7 3
6 12 1
6 13 1
7 8 3
7 13 1
7 14 1
8 9 3
8 14 1
8 15 1
9 10 3
9 15 1
9 16 1
10 11 3
10 16 1
10 17 1
11 17 1
11 18 1
12 13 3
12 19 1
12 20 1
13 14 3
13 20 1
13 21 1
14 15 3
14 21 1
14 22 1
15 16 3
15 22 1
15 23 1
16 17 3
16 23 1
16 24 1
17 18 3
17 24 1
17 25 1
18 25 1
18 26 1
19 20 3
19 27 1
19 28 1
20 21 3
20 28 1
20 29 1
21 22 3
21 29 1
21 30 1
22 23 3
22 30 1
22 31 1
23 24 3
23 31 1
23 32 1
24 25 3
24 32 1
24 33 1
25 26 3
25 33 1
25 34 1
26 34 1
26 35 1
27 28 3
28 29 3
29 30 3
30 31 3
31 32 3
32 33 3
33 34 3
34 35 3
