144
378
1 2 3
1 4 2
1 5 1
2 3 3
2 4 1
2 5 2
2 6 1
3 5 1
3 6 2
4 5 3
4 7 2
4 8 1
5 6 3
5 7 1
5 8 2
5 9 1
6 8 1
6 9 2
7 8 3
8 9 3
10 11 3
10 16 2
10 17 1
11 12 3
11 16 1
11 17 2
11 18 1
12 13 3
12 17 1
12 18 2
12 19 1
13 14 3
13 18 1
13 19 2
13 20 1
14 15 3
14 19 1
14 20 2
14 21 1
15 20 1
15 21 2
16 17 3
16 22 2
16 23 1
17 18 3
17 22 1
17 23 2
17 24 1
18 19 3
18 23 1
18 24 2
18 25 1
19 20 3
19 24 1
19 25 2
19 26 1
20 21 3
20 25 1
20 26 2
20 27 1
21 26 1
21 27 2
22 23 3
23 24 3
24 25 3
25 26 3
26 27 3
28 29 3
28 31 2
28 32 1
29 30 3
29 31 1
29 32 2
29 33 1
30 32 1
30 33 2
31 32 3
31 34 2
31 35 1
32 33 3
32 34 1
32 35 2
32 36 1
33 35 1
33 36 2
34 35 3
35 36 3
37 38 3
37 40 2
37 41 1
38 39 3
38 40 1
38 41 2
38 42 1
39 41 1
39 42 2
40 41 3
40 43 2
40 44 1
41 42 3
41 43 1
41 44 2
41 45 1
42 44 1
42 45 2
43 44 3
43 46 2
43 47 1
44 45 3
44 46 1
44 47 2
44 48 1
45 47 1
45 48 2
46 47 3
46 49 2
46 50 1
47 48 3
47 49 1
47 50 2
47 51 1
48 50 1
48 51 2
49 50 3
49 52 2
49 53 1
50 51 3
50 52 1
50 53 2
50 54 1
51 53 1
51 54 2
52 53 3
53 54 3
55 56 3
55 61 2
55 62 1
56 57 3
56 61 1
56 62 2
56 63 1
57 58 3
57 62 1
57 63 2
57 64 1
58 59 3
58 63 1
58 64 2
58 65 1
59 60 3
59 64 1
59 65 2
59 66 1
60 65 1
60 66 2
61 62 3
61 67 2
61 68 1
62 63 3
62 67 1
62 68 2
62 69 1
63 64 3
63 68 1
63 69 2
63 70 1
64 65 3
64 69 1
64 70 2
64 71 1
65 66 3
65 70 1
65 71 2
65 72 1
66 71 1
66 72 2
67 68 3
67 73 2
67 74 1
68 69 3
68 73 1
68 74 2
68 75 1
69 70 3
69 74 1
69 75 2
69 76 1
70 71 3
70 75 1
70 76 2
70 77 1
71 72 3
71 76 1
71 77 2
71 78 1
72 77 1
72 78 2
73 74 3
73 79 2
73 80 1
74 75 3
74 79 1
74 80 2
74 81 1
75 76 3
75 80 1
75 81 2
75 82 1
76 77 3
76 81 1
76 82 2
76 83 1
77 78 3
77 82 1
77 83 2
77 84 1
78 83 1
78 84 2
79 80 3
79 85 2
79 86 1
80 81 3
80 85 1
80 86 2
80 87 1
81 82 3
81 86 1
81 87 2
81 88 1
82 83 3
82 87 1
82 88 2
82 89 1
83 84 3
83 88 1
83 89 2
83 90 1
84 89 1
84 90 2
85 86 3
86 87 3
87 88 3
88 89 3
89 90 3
91 92 3
91 94 2
91 95 1
92 93 3
92 94 1
92 95 2
92 96 1
93 95 1
93 96 2
94 95 3
94 97 2
94 98 1
95 96 3
95 97 1
95 98 2
95 99 1
96 98 1
96 99 2
97 98 3
97 100 2
97 101 1
98 99 3
98 100 1
98 101 2
98 102 1
99 101 1
99 102 2
100 101 3
100 103 2
100 104 1
101 102 3
101 103 1
101 104 2
101 105 1
102 104 1
102 105 2
103 104 3
103 106 2
103 107 1
104 105 3
104 106 1
104 107 2
104 108 1
105 107 1
105 108 2
106 107 3
107 108 3
109 110 3
109 112 2
109 113 1
110 111 3
110 112 1
110 113 2
110 114 1
111 113 1
111 114 2
112 113 3
112 115 2
112 116 1
113 114 3
113 115 1
113 116 2
113 117 1
114 116 1
114 117 2
115 116 3
116 117 3
118 119 3
118 124 2
118 125 1
119 120 3
119 124 1
119 125 2
119 126 1
120 121 3
120 125 1
120 126 2
120 127 1
121 122 3
121 126 1
121 127 2
121 128 1
122 123 3
122 127 1
122 128 2
122 129 1
123 128 1
123 129 2
124 125 3
124 130 2
124 131 1
125 126 3
125 130 1
125 131 2
125 132 1
126 127 3
126 131 1
126 132 2
126 133 1
127 128 3
127 132 1
127 133 2
127 134 1
128 129 3
128 133 1
128 134 2
128 135 1
129 134 1
129 135 2
130 131 3
131 132 3
132 133 3
133 134 3
134 135 3
136 137 3
136 139 2
136 140 1
137 138 3
137 139 1
137 140 2
137 141 1
138 140 1
138 141 2
139 140 3
139 142 2
139 143 1
140 141 3
140 142 1
140 143 2
140 144 1
141 143 1
141 144 2
142 143 3
143 144 3
