200
576
1 2 3
1 6 2
1 7 1
2 3 3
2 6 1
2 7 2
2 8 1
3 4 3
3 7 1
3 8 2
3 9 1
4 5 3
4 8 1
4 9 2
4 10 1
5 9 1
5 10 2
6 7 3
6 11 2
6 12 1
7 8 3
7 11 1
7 12 2
7 13 1
8 9 3
8 12 1
8 13 2
8 14 1
9 10 3
9 13 1
9 14 2
9 15 1
10 14 1
10 15 2
11 12 3
11 16 2
11 17 1
12 13 3
12 16 1
12 17 2
12 18 1
13 14 3
13 17 1
13 18 2
13 19 1
14 15 3
14 18 1
14 19 2
14 20 1
15 19 1
15 20 2
16 17 3
16 21 2
16 22 1
17 18 3
17 21 1
17 22 2
17 23 1
18 19 3
18 22 1
18 23 2
18 24 1
19 20 3
19 23 1
19 24 2
19 25 1
20 24 1
20 25 2
21 22 3
22 23 3
23 24 3
24 25 3
26 27 3
26 31 2
26 32 1
27 28 3
27 31 1
27 32 2
27 33 1
28 29 3
28 32 1
28 33 2
28 34 1
29 30 3
29 33 1
29 34 2
29 35 1
30 34 1
30 35 2
31 32 3
31 36 2
31 37 1
32 33 3
32 36 1
32 37 2
32 38 1
33 34 3
33 37 1
33 38 2
33 39 1
34 35 3
34 38 1
34 39 2
34 40 1
35 39 1
35 40 2
36 37 3
36 41 2
36 42 1
37 38 3
37 41 1
37 42 2
37 43 1
38 39 3
38 42 1
38 43 2
38 44 1
39 40 3
39 43 1
39 44 2
39 45 1
40 44 1
40 45 2
41 42 3
41 46 2
41 47 1
42 43 3
42 46 1
42 47 2
42 48 1
43 44 3
43 47 1
43 48 2
43 49 1
44 45 3
44 48 1
44 49 2
44 50 1
45 49 1
45 50 2
46 47 3
47 48 3
48 49 3
49 50 3
51 52 3
51 56 2
51 57 1
52 53 3
52 56 1
52 57 2
52 58 1
53 54 3
53 57 1
53 58 2
53 59 1
54 55 3
54 58 1
54 59 2
54 60 1
55 59 1
55 60 2
56 57 3
56 61 2
56 62 1
57 58 3
57 61 1
57 62 2
57 63 1
58 59 3
58 62 1
58 63 2
58 64 1
59 60 3
59 63 1
59 64 2
59 65 1
60 64 1
60 65 2
61 62 3
61 66 2
61 67 1
62 63 3
62 66 1
62 67 2
62 68 1
63 64 3
63 67 1
63 68 2
63 69 1
64 65 3
64 68 1
64 69 2
64 70 1
65 69 1
65 70 2
66 67 3
66 71 2
66 72 1
67 68 3
67 71 1
67 72 2
67 73 1
68 69 3
68 72 1
68 73 2
68 74 1
69 70 3
69 73 1
69 74 2
69 75 1
70 74 1
70 75 2
71 72 3
72 73 3
73 74 3
74 75 3
76 77 3
76 81 2
76 82 1
77 78 3
77 81 1
77 82 2
77 83 1
78 79 3
78 82 1
78 83 2
78 84 1
79 80 3
79 83 1
79 84 2
79 85 1
80 84 1
80 85 2
81 82 3
81 86 2
81 87 1
