144
506
1 2 3
1 13 2
1 14 1
2 3 3
2 13 1
2 14 2
2 15 1
3 4 3
3 14 1
3 15 2
3 16 1
4 5 3
4 15 1
4 16 2
4 17 1
5 6 3
5 16 1
5 17 2
5 18 1
6 7 3
6 17 1
6 18 2
6 19 1
7 8 3
7 18 1
7 19 2
7 20 1
8 9 3
8 19 1
8 20 2
8 21 1
9 10 3
9 20 1
9 21 2
9 22 1
10 11 3
10 21 1
10 22 2
10 23 1
11 12 3
11 22 1
11 23 2
11 24 1
12 23 1
12 24 2
13 14 3
13 25 2
13 26 1
14 15 3
14 25 1
14 26 2
14 27 1
15 16 3
15 26 1
15 27 2
15 28 1
16 17 3
16 27 1
16 28 2
16 29 1
17 18 3
17 28 1
17 29 2
17 30 1
18 19 3
18 29 1
18 30 2
18 31 1
19 20 3
19 30 1
19 31 2
19 32 1
20 21 3
20 31 1
20 32 2
20 33 1
21 22 3
21 32 1
21 33 2
21 34 1
22 23 3
22 33 1
22 34 2
22 35 1
23 24 3
23 34 1
23 35 2
23 36 1
24 35 1
24 36 2
25 26 3
25 37 2
25 38 1
26 27 3
26 37 1
26 38 2
26 39 1
27 28 3
27 38 1
27 39 2
27 40 1
28 29 3
28 39 1
28 40 2
28 41 1
29 30 3
29 40 1
29 41 2
29 42 1
30 31 3
30 41 1
30 42 2
30 43 1
31 32 3
31 42 1
31 43 2
31 44 1
32 33 3
32 43 1
32 44 2
32 45 1
33 34 3
33 44 1
33 45 2
33 46 1
34 35 3
34 45 1
34 46 2
34 47 1
35 36 3
35 46 1
35 47 2
35 48 1
36 47 1
36 48 2
37 38 3
37 49 2
37 50 1
38 39 3
38 49 1
38 50 2
38 51 1
39 40 3
39 50 1
39 51 2
39 52 1
40 41 3
40 51 1
40 52 2
40 53 1
41 42 3
41 52 1
41 53 2
41 54 1
42 43 3
42 53 1
42 54 2
42 55 1
43 44 3
43 54 1
43 55 2
43 56 1
44 45 3
44 55 1
44 56 2
44 57 1
45 46 3
45 56 1
45 57 2
45 58 1
46 47 3
46 57 1
46 58 2
46 59 1
47 48 3
47 58 1
47 59 2
47 60 1
48 59 1
48 60 2
49 50 3
49 61 2
49 62 1
50 51 3
50 61 1
50 62 2
50 63 1
51 52 3
51 62 1
51 63 2
51 64 1
52 53 3
52 63 1
52 64 2
52 65 1
53 54 3
53 64 1
53 65 2
53 66 1
54 55 3
54 65 1
54 66 2
54 67 1
55 56 3
55 66 1
55 67 2
55 68 1
56 57 3
56 67 1
56 68 2
56 69 1
57 58 3
57 68 1
57 69 2
57 70 1
58 59 3
58 69 1
58 70 2
58 71 1
59 60 3
59 70 1
59 71 2
59 72 1
60 71 1
60 72 2
61 62 3
61 73 2
61 74 1
62 63 3
62 73 1
62 74 2
62 75 1
63 64 3
63 74 1
63 75 2
63 76 1
64 65 3
64 75 1
64 76 2
64 77 1
65 66 3
65 76 1
65 77 2
65 78 1
66 67 3
66 77 1
66 78 2
66 79 1
67 68 3
67 78 1
67 79 2
67 80 1
68 69 3
68 79 1
68 80 2
68 81 1
69 70 3
69 80 1
69 81 2
69 82 1
70 71 3
70 81 1
70 82 2
70 83 1
71 72 3
71 82 1
71 83 2
71 84 1
72 83 1
72 84 2
73 74 3
73 85 2
73 86 1
74 75 3
74 85 1
74 86 2
74 87 1
75 76 3
75 86 1
75 87 2
75 88 1
76 77 3
76 87 1
76 88 2
76 89 1
77 78 3
77 88 1
77 89 2
77 90 1
78 79 3
78 89 1
78 90 2
78 91 1
79 80 3
79 90 1
79 91 2
79 92 1
80 81 3
80 91 1
80 92 2
80 93 1
81 82 3
81 92 1
81 93 2
81 94 1
82 83 3
82 93 1
82 94 2
82 95 1
83 84 3
83 94 1
83 95 2
83 96 1
84 95 1
84 96 2
85 86 3
85 97 2
85 98 1
86 87 3
86 97 1
86 98 2
86 99 1
87 88 3
87 98 1
87 99 2
87 100 1
88 89 3
88 99 1
88 100 2
88 101 1
89 90 3
89 100 1
89 101 2
89 102 1
90 91 3
90 101 1
90 102 2
90 103 1
91 92 3
91 102 1
91 103 2
91 104 1
92 93 3
92 103 1
92 104 2
92 105 1
93 94 3
93 104 1
93 105 2
93 106 1
94 95 3
94 105 1
94 106 2
94 107 1
95 96 3
95 106 1
95 107 2
95 108 1
96 107 1
96 108 2
97 98 3
97 109 2
97 110 1
98 99 3
98 109 1
98 110 2
98 111 1
99 100 3
99 110 1
99 111 2
99 112 1
100 101 3
100 111 1
100 112 2
100 113 1
101 102 3
101 112 1
101 113 2
101 114 1
102 103 3
102 113 1
102 114 2
102 115 1
103 104 3
103 114 1
103 115 2
103 116 1
104 105 3
104 115 1
104 116 2
104 117 1
105 106 3
105 116 1
105 117 2
105 118 1
106 107 3
106 117 1
106 118 2
106 119 1
107 108 3
107 118 1
107 119 2
107 120 1
108 119 1
108 120 2
109 110 3
109 121 2
109 122 1
110 111 3
110 121 1
110 122 2
110 123 1
111 112 3
111 122 1
111 123 2
111 124 1
112 113 3
112 123 1
112 124 2
112 125 1
113 114 3
113 124 1
113 125 2
113 126 1
114 115 3
114 125 1
114 126 2
114 127 1
115 116 3
115 126 1
115 127 2
115 128 1
116 117 3
116 127 1
116 128 2
116 129 1
117 118 3
117 128 1
117 129 2
117 130 1
118 119 3
118 129 1
118 130 2
118 131 1
119 120 3
119 130 1
119 131 2
119 132 1
120 131 1
120 132 2
121 122 3
121 133 2
121 134 1
122 123 3
122 133 1
122 134 2
122 135 1
123 124 3
123 134 1
123 135 2
123 136 1
124 125 3
124 135 1
124 136 2
