36
78
1 2 3
1 3 2
1 4 1
2 3 1
2 4 2
3 4 3
3 5 2
3 6 1
4 5 1
4 6 2
5 6 3
5 7 2
5 8 1
6 7 1
6 8 2
7 8 3
7 9 2
7 10 1
8 9 1
8 10 2
9 10 3
9 11 2
9 12 1
10 11 1
10 12 2
11 12 3
13 14 3
13 15 2
13 16 1
14 15 1
14 16 2
15 16 3
15 17 2
15 18 1
16 17 1
16 18 2
17 18 3
17 19 2
17 20 1
18 19 1
18 20 2
19 20 3
19 21 2
19 22 1
20 21 1
20 22 2
21 22 3
21 23 2
21 24 1
22 23 1
22 24 2
23 24 3
25 26 3
25 27 2
25 28 1
26 27 1
26 28 2
27 28 3
27 29 2
27 30 1
28 29 1
28 30 2
29 30 3
29 31 2
29 32 1
30 31 1
30 32 2
31 32 3
31 33 2
31 34 1
32 33 1
32 34 2
33 34 3
33 35 2
33 36 1
34 35 1
34 36 2
35 36 3
