100
230
1 2 3
1 3 2
1 4 1
2 3 1
2 4 2
3 4 3
3 5 2
3 6 1
4 5 1
4 6 2
5 6 3
5 7 2
5 8 1
6 7 1
6 8 2
7 8 3
7 9 2
7 10 1
8 9 1
8 10 2
9 10 3
9 11 2
9 12 1
10 11 1
10 12 2
11 12 3
11 13 2
11 14 1
12 13 1
12 14 2
13 14 3
13 15 2
13 16 1
14 15 1
14 16 2
15 16 3
15 17 2
15 18 1
16 17 1
16 18 2
17 18 3
17 19 2
17 20 1
18 19 1
18 20 2
19 20 3
21 22 3
21 23 2
21 24 1
22 23 1
22 24 2
23 24 3
23 25 2
23 26 1
24 25 1
24 26 2
25 26 3
25 27 2
25 28 1
26 27 1
26 28 2
27 28 3
27 29 2
27 30 1
28 29 1
28 30 2
29 30 3
29 31 2
29 32 1
30 31 1
30 32 2
31 32 3
31 33 2
31 34 1
32 33 1
32 34 2
33 34 3
33 35 2
33 36 1
34 35 1
34 36 2
35 36 3
35 37 2
35 38 1
36 37 1
36 38 2
37 38 3
37 39 2
37 40 1
38 39 1
38 40 2
39 40 3
41 42 3
41 43 2
41 44 1
42 43 1
42 44 2
43 44 3
43 45 2
43 46 1
44 45 1
44 46 2
45 46 3
45 47 2
45 48 1
46 47 1
46 48 2
47 48 3
47 49 2
47 50 1
48 49 1
48 50 2
49 50 3
49 51 2
49 52 1
50 51 1
50 52 2
51 52 3
51 53 2
51 54 1
52 53 1
52 54 2
53 54 3
53 55 2
53 56 1
54 55 1
54 56 2
55 56 3
55 57 2
55 58 1
56 57 1
56 58 2
57 58 3
57 59 2
57 60 1
58 59 1
58 60 2
59 60 3
61 62 3
61 63 2
61 64 1
62 63 1
62 64 2
63 64 3
63 65 2
63 66 1
64 65 1
64 66 2
65 66 3
65 67 2
65 68 1
66 67 1
66 68 2
67 68 3
67 69 2
67 70 1
68 69 1
68 70 2
69 70 3
69 71 2
69 72 1
70 71 1
70 72 2
71 72 3
71 73 2
71 74 1
72 73 1
72 74 2
73 74 3
73 75 2
73 76 1
74 75 1
74 76 2
75 76 3
75 77 2
75 78 1
76 77 1
76 78 2
77 78 3
77 79 2
77 80 1
78 79 1
78 80 2
79 80 3
81 82 3
81 83 2
81 84 1
82 83 1
82 84 2
83 84 3
83 85 2
83 86 1
84 85 1
84 86 2
85 86 3
85 87 2
85 88 1
86 87 1
86 88 2
87 88 3
87 89 2
87 90 1
88 89 1
88 90 2
89 90 3
89 91 2
89 92 1
90 91 1
90 92 2
91 92 3
91 93 2
91 94 1
92 93 1
92 94 2
93 94 3
93 95 2
93 96 1
94 95 1
94 96 2
95 96 3
95 97 2
95 98 1
96 97 1
96 98 2
97 98 3
97 99 2
97 100 1
98 99 1
98 100 2
99 100 3
