196
462
1 2 3
1 3 2
1 4 1
2 3 1
2 4 2
3 4 3
3 5 2
3 6 1
4 5 1
4 6 2
5 6 3
5 7 2
5 8 1
6 7 1
6 8 2
7 8 3
7 9 2
7 10 1
8 9 1
8 10 2
9 10 3
9 11 2
9 12 1
10 11 1
10 12 2
11 12 3
11 13 2
11 14 1
12 13 1
12 14 2
13 14 3
13 15 2
13 16 1
14 15 1
14 16 2
15 16 3
15 17 2
15 18 1
16 17 1
16 18 2
17 18 3
17 19 2
17 20 1
18 19 1
18 20 2
19 20 3
19 21 2
19 22 1
20 21 1
20 22 2
21 22 3
21 23 2
21 24 1
22 23 1
22 24 2
23 24 3
23 25 2
23 26 1
24 25 1
24 26 2
25 26 3
25 27 2
25 28 1
26 27 1
26 28 2
27 28 3
29 30 3
29 31 2
29 32 1
30 31 1
30 32 2
31 32 3
31 33 2
31 34 1
32 33 1
32 34 2
33 34 3
33 35 2
33 36 1
34 35 1
34 36 2
35 36 3
35 37 2
35 38 1
36 37 1
36 38 2
37 38 3
37 39 2
37 40 1
38 39 1
38 40 2
39 40 3
39 41 2
39 42 1
40 41 1
40 42 2
41 42 3
41 43 2
41 44 1
42 43 1
42 44 2
43 44 3
43 45 2
43 46 1
44 45 1
44 46 2
45 46 3
45 47 2
45 48 1
46 47 1
46 48 2
47 48 3
47 49 2
47 50 1
48 49 1
48 50 2
49 50 3
49 51 2
49 52 1
50 51 1
50 52 2
51 52 3
51 53 2
51 54 1
52 53 1
52 54 2
53 54 3
53 55 2
53 56 1
54 55 1
54 56 2
55 56 3
57 58 3
57 59 2
57 60 1
58 59 1
58 60 2
59 60 3
59 61 2
59 62 1
60 61 1
60 62 2
61 62 3
61 63 2
61 64 1
62 63 1
62 64 2
63 64 3
63 65 2
63 66 1
64 65 1
64 66 2
65 66 3
65 67 2
65 68 1
66 67 1
66 68 2
67 68 3
67 69 2
67 70 1
68 69 1
68 70 2
69 70 3
69 71 2
69 72 1
70 71 1
70 72 2
71 72 3
71 73 2
71 74 1
72 73 1
72 74 2
73 74 3
73 75 2
73 76 1
74 75 1
74 76 2
75 76 3
75 77 2
75 78 1
76 77 1
76 78 2
77 78 3
77 79 2
77 80 1
78 79 1
78 80 2
79 80 3
79 81 2
79 82 1
80 81 1
80 82 2
81 82 3
81 83 2
81 84 1
82 83 1
82 84 2
83 84 3
85 86 3
85 87 2
85 88 1
86 87 1
86 88 2
87 88 3
87 89 2
87 90 1
88 89 1
88 90 2
89 90 3
89 91 2
89 92 1
90 91 1
90 92 2
91 92 3
91 93 2
91 94 1
92 93 1
92 94 2
93 94 3
93 95 2
93 96 1
94 95 1
94 96 2
95 96 3
95 97 2
95 98 1
96 97 1
96 98 2
97 98 3
97 99 2
97 100 1
98 99 1
98 100 2
99 100 3
99 101 2
99 102 1
100 101 1
100 102 2
101 102 3
101 103 2
101 104 1
102 103 1
102 104 2
103 104 3
103 105 2
103 106 1
104 105 1
104 106 2
105 106 3
105 107 2
105 108 1
106 107 1
106 108 2
107 108 3
107 109 2
107 110 1
108 109 1
108 110 2
109 110 3
109 111 2
109 112 1
110 111 1
110 112 2
111 112 3
113 114 3
113 115 2
113 116 1
114 115 1
114 116 2
115 116 3
115 117 2
115 118 1
116 117 1
116 118 2
117 118 3
117 119 2
117 120 1
118 119 1
118 120 2
119 120 3
119 121 2
119 122 1
120 121 1
120 122 2
121 122 3
121 123 2
121 124 1
122 123 1
122 124 2
123 124 3
123 125 2
123 126 1
124 125 1
124 126 2
125 126 3
125 127 2
125 128 1
126 127 1
126 128 2
127 128 3
127 129 2
127 130 1
128 129 1
128 130 2
129 130 3
129 131 2
129 132 1
130 131 1
130 132 2
131 132 3
131 133 2
131 134 1
132 133 1
132 134 2
133 134 3
133 135 2
133 136 1
134 135 1
134 136 2
135 136 3
135 137 2
135 138 1
136 137 1
136 138 2
137 138 3
137 139 2
137 140 1
138 139 1
138 140 2
139 140 3
141 142 3
141 143 2
141 144 1
142 143 1
142 144 2
143 144 3
143 145 2
143 146 1
144 145 1
144 146 2
145 146 3
145 147 2
145 148 1
146 147 1
146 148 2
147 148 3
147 149 2
147 150 1
148 149 1
148 150 2
149 150 3
149 151 2
149 152 1
150 151 1
150 152 2
151 152 3
151 153 2
151 154 1
152 153 1
152 154 2
153 154 3
153 155 2
153 156 1
154 155 1
154 156 2
155 156 3
155 157 2
155 158 1
156 157 1
156 158 2
157 158 3
157 159 2
157 160 1
158 159 1
158 160 2
159 160 3
159 161 2
159 162 1
160 161 1
160 162 2
161 162 3
161 163 2
161 164 1
162 163 1
162 164 2
163 164 3
163 165 2
163 166 1
164 165 1
164 166 2
165 166 3
165 167 2
165 168 1
166 167 1
166 168 2
167 168 3
169 170 3
169 171 2
169 172 1
170 171 1
170 172 2
171 172 3
171 173 2
171 174 1
172 173 1
172 174 2
173 174 3
173 175 2
173 176 1
174 175 1
174 176 2
175 176 3
175 177 2
175 178 1
176 177 1
176 178 2
177 178 3
177 179 2
177 180 1
178 179 1
178 180 2
179 180 3
179 181 2
179 182 1
180 181 1
180 182 2
181 182 3
181 183 2
181 184 1
182 183 1
182 184 2
183 184 3
183 185 2
183 186 1
184 185 1
184 186 2
185 186 3
185 187 2
185 188 1
186 187 1
186 188 2
187 188 3
187 189 2
187 190 1
188 189 1
188 190 2
189 190 3
189 191 2
189 192 1
190 191 1
190 192 2
191 192 3
191 193 2
191 194 1
192 193 1
192 194 2
193 194 3
193 195 2
193 196 1
194 195 1
194 196 2
195 196 3
