64
96
1 2 3
1 3 2
1 4 1
2 3 1
2 4 2
3 4 3
5 6 3
5 7 2
5 8 1
6 7 1
6 8 2
7 8 3
9 10 3
9 11 2
9 12 1
10 11 1
10 12 2
11 12 3
13 14 3
13 15 2
13 16 1
14 15 1
14 16 2
15 16 3
17 18 3
17 19 2
17 20 1
18 19 1
18 20 2
19 20 3
21 22 3
21 23 2
21 24 1
22 23 1
22 24 2
23 24 3
25 26 3
25 27 2
25 28 1
26 27 1
26 28 2
27 28 3
29 30 3
29 31 2
29 32 1
30 31 1
30 32 2
31 32 3
33 34 3
33 35 2
33 36 1
34 35 1
34 36 2
35 36 3
37 38 3
37 39 2
37 40 1
38 39 1
38 40 2
39 40 3
41 42 3
41 43 2
41 44 1
42 43 1
42 44 2
43 44 3
45 46 3
45 47 2
45 48 1
46 47 1
46 48 2
47 48 3
49 50 3
49 51 2
49 52 1
50 51 1
50 52 2
51 52 3
53 54 3
53 55 2
53 56 1
54 55 1
54 56 2
55 56 3
57 58 3
57 59 2
57 60 1
58 59 1
58 60 2
59 60 3
61 62 3
61 63 2
61 64 1
62 63 1
62 64 2
63 64 3
