30
76
1 2 3
1 6 2
1 7 1
2 3 3
2 6 1
2 7 2
2 8 1
3 4 3
3 7 1
3 8 2
3 9 1
4 5 3
4 8 1
4 9 2
4 10 1
5 9 1
5 10 2
6 7 3
6 11 2
6 12 1
7 8 3
7 11 1
7 12 2
7 13 1
8 9 3
8 12 1
8 13 2
8 14 1
9 10 3
9 13 1
9 14 2
9 15 1
10 14 1
10 15 2
11 12 3
12 13 3
13 14 3
14 15 3
16 17 3
16 21 2
16 22 1
17 18 3
17 21 1
17 22 2
17 23 1
18 19 3
18 22 1
18 23 2
18 24 1
19 20 3
19 23 1
19 24 2
19 25 1
20 24 1
20 25 2
21 22 3
21 26 2
21 27 1
22 23 3
22 26 1
22 27 2
22 28 1
23 24 3
23 27 1
23 28 2
23 29 1
24 25 3
24 28 1
24 29 2
24 30 1
25 29 1
25 30 2
26 27 3
27 28 3
28 29 3
29 30 3
