64
168
1 2 3
1 5 2
1 6 1
2 3 3
2 5 1
2 6 2
2 7 1
3 4 3
3 6 1
3 7 2
3 8 1
4 7 1
4 8 2
5 6 3
5 9 2
5 10 1
6 7 3
6 9 1
6 10 2
6 11 1
7 8 3
7 10 1
7 11 2
7 12 1
8 11 1
8 12 2
9 10 3
9 13 2
9 14 1
10 11 3
10 13 1
10 14 2
10 15 1
11 12 3
11 14 1
11 15 2
11 16 1
12 15 1
12 16 2
13 14 3
14 15 3
15 16 3
17 18 3
17 21 2
17 22 1
18 19 3
18 21 1
18 22 2
18 23 1
19 20 3
19 22 1
19 23 2
19 24 1
20 23 1
20 24 2
21 22 3
21 25 2
21 26 1
22 23 3
22 25 1
22 26 2
22 27 1
23 24 3
23 26 1
23 27 2
23 28 1
24 27 1
24 28 2
25 26 3
25 29 2
25 30 1
26 27 3
26 29 1
26 30 2
26 31 1
27 28 3
27 30 1
27 31 2
27 32 1
28 31 1
28 32 2
29 30 3
30 31 3
31 32 3
33 34 3
33 37 2
33 38 1
34 35 3
34 37 1
34 38 2
34 39 1
35 36 3
35 38 1
35 39 2
35 40 1
36 39 1
36 40 2
37 38 3
37 41 2
37 42 1
38 39 3
38 41 1
38 42 2
38 43 1
39 40 3
39 42 1
39 43 2
39 44 1
40 43 1
40 44 2
41 42 3
41 45 2
41 46 1
42 43 3
42 45 1
42 46 2
42 47 1
43 44 3
43 46 1
43 47 2
43 48 1
44 47 1
44 48 2
45 46 3
46 47 3
47 48 3
49 50 3
49 53 2
49 54 1
50 51 3
50 53 1
50 54 2
50 55 1
51 52 3
51 54 1
51 55 2
51 56 1
52 55 1
52 56 2
53 54 3
53 57 2
53 58 1
54 55 3
54 57 1
54 58 2
54 59 1
55 56 3
55 58 1
55 59 2
55 60 1
56 59 1
56 60 2
57 58 3
57 61 2
57 62 1
58 59 3
58 61 1
58 62 2
58 63 1
59 60 3
59 62 1
59 63 2
59 64 1
60 63 1
60 64 2
61 62 3
62 63 3
63 64 3
